 x, y, z, pressure, velmag, vx, vy, vz
  1.2903,   0.2903,   0.0000,   0.5746,  1.23168,  1.23152,  0.02008,  0.00000
  1.2903,   0.3226,   0.0000,   0.5754,  1.26400,  1.26386,  0.01865,  0.00000
  1.2903,   0.3548,   0.0000,   0.5761,  1.28625,  1.28614,  0.01637,  0.00000
  1.2903,   0.3871,   0.0000,   0.5767,  1.30102,  1.30095,  0.01341,  0.00000
  1.2903,   0.4194,   0.0000,   0.5772,  1.31035,  1.31032,  0.00993,  0.00000
  1.2903,   0.4516,   0.0000,   0.5775,  1.31576,  1.31575,  0.00610,  0.00000
  1.2903,   0.4839,   0.0000,   0.5777,  1.31823,  1.31823,  0.00206,  0.00000
  1.2903,   0.5161,   0.0000,   0.5777,  1.31823,  1.31823, -0.00206,  0.00000
  1.2903,   0.5484,   0.0000,   0.5775,  1.31576,  1.31575, -0.00610,  0.00000
  1.2903,   0.5806,   0.0000,   0.5772,  1.31035,  1.31032, -0.00993,  0.00000
  1.2903,   0.6129,   0.0000,   0.5767,  1.30101,  1.30095, -0.01341,  0.00000
  1.2903,   0.6452,   0.0000,   0.5761,  1.28625,  1.28614, -0.01637,  0.00000
  1.2903,   0.6774,   0.0000,   0.5754,  1.26400,  1.26386, -0.01865,  0.00000
  1.2903,   0.7097,   0.0000,   0.5746,  1.23168,  1.23152, -0.02008,  0.00000
  1.2903,   0.7419,   0.0000,   0.5737,  1.18618,  1.18600, -0.02050,  0.00000
  1.2903,   0.7742,   0.0000,   0.5728,  1.12395,  1.12377, -0.01980,  0.00000
  1.2903,   0.8065,   0.0000,   0.5720,  1.04124,  1.04109, -0.01793,  0.00000
  1.2903,   0.8387,   0.0000,   0.5712,  0.93450,  0.93438, -0.01500,  0.00000
  1.2903,   0.8710,   0.0000,   0.5705,  0.80096,  0.80088, -0.01128,  0.00000
  1.2903,   0.9032,   0.0000,   0.5699,  0.63929,  0.63925, -0.00724,  0.00000
  1.2903,   0.9355,   0.0000,   0.5694,  0.45019,  0.45018, -0.00356,  0.00000
  1.2903,   0.9677,   0.0000,   0.5688,  0.23610,  0.23609, -0.00096,  0.00000
  1.2903,   1.0000,   0.0000,   0.5686,  0.00000,  0.00000,  0.00000,  0.00000
  1.6129,   0.0000,   0.0000,   0.5091,  0.00000,  0.00000,  0.00000,  0.00000
  1.6129,   0.0323,   0.0000,   0.5093,  0.22313,  0.22312,  0.00058,  0.00000
  1.6129,   0.0645,   0.0000,   0.5096,  0.42688,  0.42688,  0.00215,  0.00000
  1.6129,   0.0968,   0.0000,   0.5099,  0.60961,  0.60959,  0.00446,  0.00000
  1.6129,   0.1290,   0.0000,   0.5102,  0.76967,  0.76964,  0.00713,  0.00000
  1.6129,   0.1613,   0.0000,   0.5105,  0.90619,  0.90614,  0.00978,  0.00000
  1.6129,   0.1935,   0.0000,   0.5109,  1.01941,  1.01934,  0.01205,  0.00000
  1.6129,   0.2258,   0.0000,   0.5113,  1.11073,  1.11065,  0.01369,  0.00000
  1.6129,   0.2581,   0.0000,   0.5117,  1.18240,  1.18231,  0.01454,  0.00000
  1.6129,   0.2903,   0.0000,   0.5122,  1.23716,  1.23707,  0.01455,  0.00000
  1.6129,   0.3226,   0.0000,   0.5126,  1.27787,  1.27780,  0.01377,  0.00000
  1.6129,   0.3548,   0.0000,   0.5130,  1.30727,  1.30721,  0.01228,  0.00000
  1.6129,   0.3871,   0.0000,   0.5133,  1.32777,  1.32773,  0.01018,  0.00000
  1.6129,   0.4194,   0.0000,   0.5136,  1.34137,  1.34135,  0.00761,  0.00000
  1.6129,   0.4516,   0.0000,   0.5138,  1.34960,  1.34959,  0.00470,  0.00000
  1.6129,   0.4839,   0.0000,   0.5139,  1.35346,  1.35346,  0.00159,  0.00000
  1.6129,   0.5161,   0.0000,   0.5139,  1.35346,  1.35346, -0.00159,  0.00000
  1.6129,   0.5484,   0.0000,   0.5138,  1.34960,  1.34959, -0.00470,  0.00000
  1.6129,   0.5806,   0.0000,   0.5136,  1.34137,  1.34135, -0.00761,  0.00000
  1.6129,   0.6129,   0.0000,   0.5133,  1.32777,  1.32773, -0.01018,  0.00000
  1.6129,   0.6452,   0.0000,   0.5130,  1.30727,  1.30721, -0.01228,  0.00000
  1.6129,   0.6774,   0.0000,   0.5126,  1.27787,  1.27780, -0.01377,  0.00000
  1.6129,   0.7097,   0.0000,   0.5122,  1.23716,  1.23707, -0.01455,  0.00000
  1.6129,   0.7419,   0.0000,   0.5117,  1.18240,  1.18231, -0.01454,  0.00000
  1.6129,   0.7742,   0.0000,   0.5113,  1.11073,  1.11065, -0.01369,  0.00000
  1.6129,   0.8065,   0.0000,   0.5109,  1.01941,  1.01934, -0.01205,  0.00000
  1.6129,   0.8387,   0.0000,   0.5105,  0.90619,  0.90614, -0.00978,  0.00000
  1.6129,   0.8710,   0.0000,   0.5102,  0.76967,  0.76964, -0.00713,  0.00000
  1.6129,   0.9032,   0.0000,   0.5099,  0.60961,  0.60959, -0.00446,  0.00000
  1.6129,   0.9355,   0.0000,   0.5096,  0.42688,  0.42688, -0.00215,  0.00000
  1.6129,   0.9677,   0.0000,   0.5093,  0.22313,  0.22312, -0.00058,  0.00000
  1.6129,   1.0000,   0.0000,   0.5091,  0.00000,  0.00000,  0.00000,  0.00000
  1.9355,   0.0000,   0.0000,   0.4542,  0.00000,  0.00000,  0.00000,  0.00000
  1.9355,   0.0323,   0.0000,   0.4543,  0.21456,  0.21456,  0.00040,  0.00000
  1.9355,   0.0645,   0.0000,   0.4545,  0.41139,  0.41139,  0.00147,  0.00000
  1.9355,   0.0968,   0.0000,   0.4547,  0.58945,  0.58944,  0.00305,  0.00000
  1.9355,   0.1290,   0.0000,   0.4549,  0.74764,  0.74762,  0.00493,  0.00000
  1.9355,   0.1613,   0.0000,   0.4551,  0.88521,  0.88519,  0.00686,  0.00000
  1.9355,   0.1935,   0.0000,   0.4553,  1.00210,  1.00206,  0.00861,  0.00000
  1.9355,   0.2258,   0.0000,   0.4555,  1.09900,  1.09896,  0.00995,  0.00000
  1.9355,   0.2581,   0.0000,   0.4558,  1.17737,  1.17733,  0.01076,  0.00000
  1.9355,   0.2903,   0.0000,   0.4560,  1.23918,  1.23913,  0.01095,  0.00000
  1.9355,   0.3226,   0.0000,   0.4563,  1.28667,  1.28662,  0.01051,  0.00000
  1.9355,   0.3548,   0.0000,   0.4565,  1.32212,  1.32208,  0.00949,  0.00000
  1.9355,   0.3871,   0.0000,   0.4567,  1.34766,  1.34763,  0.00794,  0.00000
  1.9355,   0.4194,   0.0000,   0.4569,  1.36512,  1.36511,  0.00598,  0.00000
  1.9355,   0.4516,   0.0000,   0.4570,  1.37595,  1.37595,  0.00371,  0.00000
  1.9355,   0.4839,   0.0000,   0.4570,  1.38112,  1.38112,  0.00126,  0.00000
  1.9355,   0.5161,   0.0000,   0.4570,  1.38112,  1.38112, -0.00126,  0.00000
